date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:37:40	98951/98951	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2002:37:38%20GMT	https://www.loto-premio.com/14pts	C:/Meus%20Sites/loto/www.loto-premio.com/14pts.html	(from )
23:37:40	58/58	---M--	200	added ('OK')	text/plain	date:Fri,%2003%20Feb%202023%2012:47:38%20GMT	https://www.loto-premio.com/robots.txt		(from )
23:37:41	83419/83419	---M-Z	200	added ('OK')	text/css	etag:%22145db-624ce6b8-cebdb5dac6a4b3a9;gz%22	https://lotopremio14pontos.site/wp-includes/css/dist/block-library/style.min.css?ver=5.9.5	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-includes/css/dist/block-library/style.mind9cd.css	(from https://www.loto-premio.com/14pts)
23:37:42	155185/155185	---M-Z	200	added ('OK')	text/css	etag:%2225e31-6093401c-60fa1aebf32cf22d;gz%22	https://lotopremio14pontos.site/wp-content/themes/twentytwentyone/style.css?ver=1.3	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-content/themes/twentytwentyone/style4e44.css	(from https://www.loto-premio.com/14pts)
23:37:42	2897/2897	---M-Z	200	added ('OK')	text/css	etag:%22b51-6093401c-ce692f10fa90578;gz%22	https://lotopremio14pontos.site/wp-content/themes/twentytwentyone/assets/css/print.css?ver=1.3	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-content/themes/twentytwentyone/assets/css/print4e44.css	(from https://www.loto-premio.com/14pts)
23:37:42	19050/19050	---M-Z	200	added ('OK')	text/css	etag:%224a6a-62239a00-d0d56dacef118dc;gz%22	https://lotopremio14pontos.site/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.14.0	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine900.css	(from https://www.loto-premio.com/14pts)
23:37:42	137254/137254	---M-Z	200	added ('OK')	text/css	etag:%2221826-62239a00-903cbbc559282e41;gz%22	https://lotopremio14pontos.site/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.5.6	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-content/plugins/elementor/assets/css/frontend.min10cb.css	(from https://www.loto-premio.com/14pts)
23:37:42	948/948	---M-Z	200	added ('OK')	text/css	etag:%223b4-62239ba4-bd9ccf4c373af973;gz%22	https://lotopremio14pontos.site/wp-content/uploads/elementor/css/post-535.css?ver=1646500772	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-content/uploads/elementor/css/post-53545e4.css	(from https://www.loto-premio.com/14pts)
23:37:43	328609/328609	---M-Z	200	added ('OK')	text/css	etag:%22503a1-62239b68-7b2b38eaf809af04;gz%22	https://lotopremio14pontos.site/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.5.2	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-content/plugins/elementor-pro/assets/css/frontend.min49eb.css	(from https://www.loto-premio.com/14pts)
23:37:43	39078/39078	---M-Z	200	added ('OK')	text/css	etag:%2298a6-62239ba4-f86cc283278c3988;gz%22	https://lotopremio14pontos.site/wp-content/uploads/elementor/css/global.css?ver=1646500773	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-content/uploads/elementor/css/global643d.css	(from https://www.loto-premio.com/14pts)
23:37:43	36764/36764	---M-Z	200	added ('OK')	text/css	etag:%228f9c-6241c336-f6602cb49ab823f1;gz%22	https://lotopremio14pontos.site/wp-content/uploads/elementor/css/post-820.css?ver=1648476983	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-content/uploads/elementor/css/post-820f4c1.css	(from https://www.loto-premio.com/14pts)
23:37:43	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%22e238-62239a00-c6278281c4ac8b95;gz%22	https://lotopremio14pontos.site/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://www.loto-premio.com/14pts)
23:37:44	677/677	---M-Z	200	added ('OK')	text/css	etag:%222a5-62239a00-e4727361d6612851;gz%22	https://lotopremio14pontos.site/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://www.loto-premio.com/14pts)
23:37:44	669/669	---M-Z	200	added ('OK')	text/css	etag:%2229d-62239a00-fd54d8e7fc0f8299;gz%22	https://lotopremio14pontos.site/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://www.loto-premio.com/14pts)
23:37:44	89521/89521	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215db1-62239b54-c87ff56ce77cbda0;gz%22	https://lotopremio14pontos.site/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-includes/js/jquery/jquery.minaf6c.js	(from https://www.loto-premio.com/14pts)
23:37:44	11224/11224	---M-Z	200	added ('OK')	application/x-javascript	etag:%222bd8-6093401c-eb65af4d3a9f8142;gz%22	https://lotopremio14pontos.site/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.loto-premio.com/14pts)
23:37:45	1317/1317	---M-Z	200	added ('OK')	application/x-javascript	etag:%22525-624aef50-6d377cbeb872bd7;gz%22	https://lotopremio14pontos.site/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min.js?ver=5.9.5	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.mind9cd.js	(from https://www.loto-premio.com/14pts)
23:37:45	1709/1709	---M-Z	200	added ('OK')	application/x-javascript	etag:%226ad-624aef50-ab3b3c57d67b83fe;gz%22	https://lotopremio14pontos.site/wp-content/plugins/pixelyoursite/dist/scripts/js.cookie-2.1.3.min.js?ver=2.1.3	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-content/plugins/pixelyoursite/dist/scripts/js.cookie-2.1.3.min4c71.js	(from https://www.loto-premio.com/14pts)
23:37:45	83097/83097	---M-Z	200	added ('OK')	application/x-javascript	etag:%2214499-624aef50-59c99377bb571116;gz%22	https://lotopremio14pontos.site/wp-content/plugins/pixelyoursite/dist/scripts/public.js?ver=8.2.18	C:/Meus%20Sites/loto/lotopremio14pontos.site/wp-content/plugins/pixelyoursite/dist/scripts/public0fcc.js	(from https://www.loto-premio.com/14pts)
23:37:46	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f7b5b5f-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	C:/Meus%20Sites/loto/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from https://www.loto-premio.com/14pts)
